Dates,Mean
2019-08-06,30.72055556
2019-08-07,32.808
2019-08-08,28.26028571
2019-08-09,14.35742857
2019-08-10,18.13914286
2019-08-11,25.49676471
2019-08-12,21.10714286
2019-08-13,22.33228571
2019-08-14,36.35882353
2019-08-15,27.64272727
2019-08-16,15.86771429
2019-08-17,10.02285714
2019-08-18,17.03085714
2019-08-19,38.812
2019-08-20,41.84794118
2019-08-21,47.49323529
2019-08-22,44.58294118
2019-08-23,50.865
2019-08-24,64.47558824
2019-08-25,33.40121212
2019-08-26,26.23176471
2019-08-27,41.71
2019-08-28,41.70970588
2019-08-29,33.98941176
2019-08-30,51.34205882
2019-08-31,57.41117647
2019-09-01,33.09333333
2019-09-02,48.285
2019-09-03,71.57205882
2019-09-04,71.83588235
2019-09-05,34.11470588
2019-09-06,47.56470588
2019-09-07,34.60571429
2019-09-08,34.03171429
2019-09-09,56.40028571
2019-09-10,65.78371429
2019-09-11,80.30228571
2019-09-12,55.756
2019-09-13,32.89485714
2019-09-14,26.92285714
2019-09-15,37.27485714
2019-09-16,58.90085714
2019-09-17,58.07617647
2019-09-18,34.66971429
2019-09-19,22.41228571
2019-09-20,41.458
2019-09-21,39.03771429
2019-09-22,28.05085714
2019-09-23,35.07457143
2019-09-24,36.02514286
2019-09-25,30.59685714
2019-09-26,22.73685714
2019-09-27,15.95852941
2019-09-28,22.44342857
2019-09-29,17.26428571
2019-09-30,30.99714286
2019-10-01,34.06194444
2019-10-02,41.39277778
2019-10-03,57.335
2019-10-04,44.15027778
2019-10-05,40.34305556
2019-10-06,58.89888889
2019-10-07,54.3625
2019-10-08,47.09861111
2019-10-09,77.08305556
2019-10-10,101.9394444
2019-10-11,98.03361111
2019-10-12,104.5086111
2019-10-13,131.9488889
2019-10-14,116.6802778
2019-10-15,134.1844444
2019-10-16,144.422
2019-10-17,121.5071429
2019-10-18,85.79777778
2019-10-19,81.57444444
2019-10-20,96.83457143
2019-10-21,112.3752778
2019-10-22,93.43833333
2019-10-23,124.1463889
2019-10-24,173.1086111
2019-10-25,128.9316667
2019-10-26,151.3888889
2019-10-27,201.4991667
2019-10-28,278.3616667
2019-10-29,289.4258333
2019-10-30,278.6011111
2019-10-31,319.1780556
